instruction,input,output
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Gamma"", ""brand_b"": ""Alpha"", ""mat_cr_a"": 1.312, ""mat_cr_b"": 1.723, ""share_a"": 0.235, ""share_b"": 0.3087, ""yoy_a"": 0.0114, ""yoy_b"": -0.0006}",,"• In India biscuits, Gamma leads over Alpha: share 23.5% vs 30.9%; YoY 1.1% vs -0.1%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Gamma"", ""brand_b"": ""Alpha"", ""mat_cr_a"": 1.312, ""mat_cr_b"": 1.723, ""share_a"": 0.235, ""share_b"": 0.3087, ""yoy_a"": 0.0114, ""yoy_b"": -0.0006}",,"• Across India, biscuits, Gamma leads over Alpha: share 23.5% vs 30.9%; YoY 1.1% vs -0.1%."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""2022-09..2023-08"", ""mat_sales_cr"": 12.112, ""yoy"": 0.0284, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3271, ""mat_cr"": 3.9625506020000003}, {""brand"": ""Splash"", ""share"": 0.2722, ""mat_cr"": 3.297259009}, {""brand"": ""Hydra"", ""share"": 0.2246, ""mat_cr"": 2.720731308}, {""brand"": ""Quench"", ""share"": 0.176, ""mat_cr"": 2.13192799}], ""top_movers"": [{""brand"": ""Fizz"", ""yoy"": 0.0465}, {""brand"": ""Quench"", ""yoy"": 0.0425}, {""brand"": ""Splash"", ""yoy"": 0.0156}], ""bottom_movers"": [{""brand"": ""Hydra"", ""yoy"": 0.008}, {""brand"": ""Splash"", ""yoy"": 0.0156}, {""brand"": ""Quench"", ""yoy"": 0.0425}], ""lead_share_pp_delta"": 0.0056}",,"• The beverages market in India up 2.8% YoY Sep 2022–Aug 2023.
• Fizz holds 32.7% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""2022-09..2023-08"", ""mat_sales_cr"": 12.112, ""yoy"": 0.0284, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3271, ""mat_cr"": 3.9625506020000003}, {""brand"": ""Splash"", ""share"": 0.2722, ""mat_cr"": 3.297259009}, {""brand"": ""Hydra"", ""share"": 0.2246, ""mat_cr"": 2.720731308}, {""brand"": ""Quench"", ""share"": 0.176, ""mat_cr"": 2.13192799}], ""top_movers"": [{""brand"": ""Fizz"", ""yoy"": 0.0465}, {""brand"": ""Quench"", ""yoy"": 0.0425}, {""brand"": ""Splash"", ""yoy"": 0.0156}], ""bottom_movers"": [{""brand"": ""Hydra"", ""yoy"": 0.008}, {""brand"": ""Splash"", ""yoy"": 0.0156}, {""brand"": ""Quench"", ""yoy"": 0.0425}], ""lead_share_pp_delta"": 0.0056}",,"• In India beverages was flat 2.8% Sep 2022–Aug 2023.
• Fizz holds 32.7% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""2022-09..2023-08"", ""mat_sales_cr"": 12.112, ""yoy"": 0.0284, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3271, ""mat_cr"": 3.9625506020000003}, {""brand"": ""Splash"", ""share"": 0.2722, ""mat_cr"": 3.297259009}, {""brand"": ""Hydra"", ""share"": 0.2246, ""mat_cr"": 2.720731308}, {""brand"": ""Quench"", ""share"": 0.176, ""mat_cr"": 2.13192799}], ""top_movers"": [{""brand"": ""Fizz"", ""yoy"": 0.0465}, {""brand"": ""Quench"", ""yoy"": 0.0425}, {""brand"": ""Splash"", ""yoy"": 0.0156}], ""bottom_movers"": [{""brand"": ""Hydra"", ""yoy"": 0.008}, {""brand"": ""Splash"", ""yoy"": 0.0156}, {""brand"": ""Quench"", ""yoy"": 0.0425}], ""lead_share_pp_delta"": 0.0056}",,"• Across India, beverages was flat 2.8% Sep 2022–Aug 2023.
• Fizz maintains 32.7% share."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Fizz"", ""brand_b"": ""Hydra"", ""mat_cr_a"": 3.913, ""mat_cr_b"": 2.701, ""share_a"": 0.3263, ""share_b"": 0.2252, ""yoy_a"": 0.0537, ""yoy_b"": 0.0105}",,"• The beverages market in India, Fizz is well ahead of Hydra: share 32.6% vs 22.5%; YoY 5.4% vs 1.1%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Fizz"", ""brand_b"": ""Hydra"", ""mat_cr_a"": 3.913, ""mat_cr_b"": 2.701, ""share_a"": 0.3263, ""share_b"": 0.2252, ""yoy_a"": 0.0537, ""yoy_b"": 0.0105}",,"• In India beverages, Fizz is well ahead of Hydra: share 32.6% vs 22.5%; YoY 5.4% vs 1.1%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Fizz"", ""brand_b"": ""Hydra"", ""mat_cr_a"": 3.913, ""mat_cr_b"": 2.701, ""share_a"": 0.3263, ""share_b"": 0.2252, ""yoy_a"": 0.0537, ""yoy_b"": 0.0105}",,"• Across India, beverages, Fizz is well ahead of Hydra: share 32.6% vs 22.5%; YoY 5.4% vs 1.1%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Splash"", ""brand_b"": ""Fizz"", ""mat_cr_a"": 3.388, ""mat_cr_b"": 3.987, ""share_a"": 0.2764, ""share_b"": 0.3252, ""yoy_a"": 0.0543, ""yoy_b"": 0.0529}",,"• The beverages market in India, Splash edges past Fizz: share 27.6% vs 32.5%; YoY 5.4% vs 5.3%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Splash"", ""brand_b"": ""Fizz"", ""mat_cr_a"": 3.388, ""mat_cr_b"": 3.987, ""share_a"": 0.2764, ""share_b"": 0.3252, ""yoy_a"": 0.0543, ""yoy_b"": 0.0529}",,"• In India beverages, Splash has a narrow lead over Fizz: share 27.6% vs 32.5%; YoY 5.4% vs 5.3%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Splash"", ""brand_b"": ""Fizz"", ""mat_cr_a"": 3.388, ""mat_cr_b"": 3.987, ""share_a"": 0.2764, ""share_b"": 0.3252, ""yoy_a"": 0.0543, ""yoy_b"": 0.0529}",,"• Across India, beverages, Splash edges past Fizz: share 27.6% vs 32.5%; YoY 5.4% vs 5.3%."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""2023-04..2024-03"", ""mat_sales_cr"": 12.491, ""yoy"": 0.0433, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3226, ""mat_cr"": 4.02934844}, {""brand"": ""Splash"", ""share"": 0.2774, ""mat_cr"": 3.4647004020000005}, {""brand"": ""Hydra"", ""share"": 0.2237, ""mat_cr"": 2.794141142}, {""brand"": ""Quench"", ""share"": 0.1764, ""mat_cr"": 2.202895801}], ""top_movers"": [{""brand"": ""Splash"", ""yoy"": 0.0619}, {""brand"": ""Quench"", ""yoy"": 0.047}, {""brand"": ""Hydra"", ""yoy"": 0.0362}], ""bottom_movers"": [{""brand"": ""Fizz"", ""yoy"": 0.0307}, {""brand"": ""Hydra"", ""yoy"": 0.0362}, {""brand"": ""Quench"", ""yoy"": 0.047}], ""lead_share_pp_delta"": -0.0039}",,"• The beverages market in India nudged higher 4.3% Apr 2023–Mar 2024.
• Fizz holds 32.3% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""2023-04..2024-03"", ""mat_sales_cr"": 12.491, ""yoy"": 0.0433, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3226, ""mat_cr"": 4.02934844}, {""brand"": ""Splash"", ""share"": 0.2774, ""mat_cr"": 3.4647004020000005}, {""brand"": ""Hydra"", ""share"": 0.2237, ""mat_cr"": 2.794141142}, {""brand"": ""Quench"", ""share"": 0.1764, ""mat_cr"": 2.202895801}], ""top_movers"": [{""brand"": ""Splash"", ""yoy"": 0.0619}, {""brand"": ""Quench"", ""yoy"": 0.047}, {""brand"": ""Hydra"", ""yoy"": 0.0362}], ""bottom_movers"": [{""brand"": ""Fizz"", ""yoy"": 0.0307}, {""brand"": ""Hydra"", ""yoy"": 0.0362}, {""brand"": ""Quench"", ""yoy"": 0.047}], ""lead_share_pp_delta"": -0.0039}",,"• In India beverages up 4.3% YoY Apr 2023–Mar 2024.
• Fizz holds 32.3% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""2023-04..2024-03"", ""mat_sales_cr"": 12.491, ""yoy"": 0.0433, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3226, ""mat_cr"": 4.02934844}, {""brand"": ""Splash"", ""share"": 0.2774, ""mat_cr"": 3.4647004020000005}, {""brand"": ""Hydra"", ""share"": 0.2237, ""mat_cr"": 2.794141142}, {""brand"": ""Quench"", ""share"": 0.1764, ""mat_cr"": 2.202895801}], ""top_movers"": [{""brand"": ""Splash"", ""yoy"": 0.0619}, {""brand"": ""Quench"", ""yoy"": 0.047}, {""brand"": ""Hydra"", ""yoy"": 0.0362}], ""bottom_movers"": [{""brand"": ""Fizz"", ""yoy"": 0.0307}, {""brand"": ""Hydra"", ""yoy"": 0.0362}, {""brand"": ""Quench"", ""yoy"": 0.047}], ""lead_share_pp_delta"": -0.0039}",,"• Across India, beverages nudged higher 4.3% Apr 2023–Mar 2024.
• Fizz maintains 32.3% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2023-04..2024-03"", ""mat_sales_cr"": 5.467, ""yoy"": 0.0204, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3101, ""mat_cr"": 1.6950591830000001}, {""brand"": ""Beta"", ""share"": 0.2616, ""mat_cr"": 1.430229625}, {""brand"": ""Gamma"", ""share"": 0.2401, ""mat_cr"": 1.312413888}, {""brand"": ""Delta"", ""share"": 0.1883, ""mat_cr"": 1.029153223}], ""top_movers"": [{""brand"": ""Gamma"", ""yoy"": 0.0274}, {""brand"": ""Delta"", ""yoy"": 0.0247}, {""brand"": ""Alpha"", ""yoy"": 0.0229}], ""bottom_movers"": [{""brand"": ""Beta"", ""yoy"": 0.0083}, {""brand"": ""Alpha"", ""yoy"": 0.0229}, {""brand"": ""Delta"", ""yoy"": 0.0247}], ""lead_share_pp_delta"": 0.0008}",,"• The biscuits market in India growing 2.0% YoY Apr 2023–Mar 2024.
• Alpha maintains 31.0% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2023-04..2024-03"", ""mat_sales_cr"": 5.467, ""yoy"": 0.0204, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3101, ""mat_cr"": 1.6950591830000001}, {""brand"": ""Beta"", ""share"": 0.2616, ""mat_cr"": 1.430229625}, {""brand"": ""Gamma"", ""share"": 0.2401, ""mat_cr"": 1.312413888}, {""brand"": ""Delta"", ""share"": 0.1883, ""mat_cr"": 1.029153223}], ""top_movers"": [{""brand"": ""Gamma"", ""yoy"": 0.0274}, {""brand"": ""Delta"", ""yoy"": 0.0247}, {""brand"": ""Alpha"", ""yoy"": 0.0229}], ""bottom_movers"": [{""brand"": ""Beta"", ""yoy"": 0.0083}, {""brand"": ""Alpha"", ""yoy"": 0.0229}, {""brand"": ""Delta"", ""yoy"": 0.0247}], ""lead_share_pp_delta"": 0.0008}",,"• In India biscuits was flat 2.0% Apr 2023–Mar 2024.
• Alpha maintains 31.0% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2023-04..2024-03"", ""mat_sales_cr"": 5.467, ""yoy"": 0.0204, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3101, ""mat_cr"": 1.6950591830000001}, {""brand"": ""Beta"", ""share"": 0.2616, ""mat_cr"": 1.430229625}, {""brand"": ""Gamma"", ""share"": 0.2401, ""mat_cr"": 1.312413888}, {""brand"": ""Delta"", ""share"": 0.1883, ""mat_cr"": 1.029153223}], ""top_movers"": [{""brand"": ""Gamma"", ""yoy"": 0.0274}, {""brand"": ""Delta"", ""yoy"": 0.0247}, {""brand"": ""Alpha"", ""yoy"": 0.0229}], ""bottom_movers"": [{""brand"": ""Beta"", ""yoy"": 0.0083}, {""brand"": ""Alpha"", ""yoy"": 0.0229}, {""brand"": ""Delta"", ""yoy"": 0.0247}], ""lead_share_pp_delta"": 0.0008}",,"• Across India, biscuits growing 2.0% YoY Apr 2023–Mar 2024.
• Alpha maintains 31.0% share."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Delta"", ""brand_b"": ""Beta"", ""mat_cr_a"": 1.029, ""mat_cr_b"": 1.43, ""share_a"": 0.1883, ""share_b"": 0.2616, ""yoy_a"": 0.0247, ""yoy_b"": 0.0083}",,"• The biscuits market in India, Delta leads over Beta: share 18.8% vs 26.2%; YoY 2.5% vs 0.8%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Delta"", ""brand_b"": ""Beta"", ""mat_cr_a"": 1.029, ""mat_cr_b"": 1.43, ""share_a"": 0.1883, ""share_b"": 0.2616, ""yoy_a"": 0.0247, ""yoy_b"": 0.0083}",,"• In India biscuits, Delta leads over Beta: share 18.8% vs 26.2%; YoY 2.5% vs 0.8%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Delta"", ""brand_b"": ""Beta"", ""mat_cr_a"": 1.029, ""mat_cr_b"": 1.43, ""share_a"": 0.1883, ""share_b"": 0.2616, ""yoy_a"": 0.0247, ""yoy_b"": 0.0083}",,"• Across India, biscuits, Delta leads over Beta: share 18.8% vs 26.2%; YoY 2.5% vs 0.8%."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""ytd_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""YTD 2022-01..2022-10"", ""ytd_sales_cr"": 9.936, ""yoy"": 0.05, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3229, ""ytd_cr"": 3.208143227}, {""brand"": ""Splash"", ""share"": 0.2732, ""ytd_cr"": 2.714433209}, {""brand"": ""Hydra"", ""share"": 0.228, ""ytd_cr"": 2.264893603}, {""brand"": ""Quench"", ""share"": 0.176, ""ytd_cr"": 1.7482081530000002}]}",,"• The beverages market in India reached ₹9.94 Cr up by 5.0% YoY Jan–Oct 2022 (YTD).
• Fizz holds 32.3% share, contributing ₹3.21 Cr."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""ytd_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""YTD 2022-01..2022-10"", ""ytd_sales_cr"": 9.936, ""yoy"": 0.05, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3229, ""ytd_cr"": 3.208143227}, {""brand"": ""Splash"", ""share"": 0.2732, ""ytd_cr"": 2.714433209}, {""brand"": ""Hydra"", ""share"": 0.228, ""ytd_cr"": 2.264893603}, {""brand"": ""Quench"", ""share"": 0.176, ""ytd_cr"": 1.7482081530000002}]}",,"• In India beverages reached ₹9.94 Cr up 5.0% YoY Jan–Oct 2022 (YTD).
• Fizz holds 32.3% share, contributing ₹3.21 Cr."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""ytd_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""YTD 2022-01..2022-10"", ""ytd_sales_cr"": 9.936, ""yoy"": 0.05, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3229, ""ytd_cr"": 3.208143227}, {""brand"": ""Splash"", ""share"": 0.2732, ""ytd_cr"": 2.714433209}, {""brand"": ""Hydra"", ""share"": 0.228, ""ytd_cr"": 2.264893603}, {""brand"": ""Quench"", ""share"": 0.176, ""ytd_cr"": 1.7482081530000002}]}",,"• Across India, beverages totaled ₹9.94 Cr up 5.0% YoY Jan–Oct 2022 (YTD).
• Fizz maintains 32.3% share, contributing ₹3.21 Cr."
